,1,2,3,4,5,6,7,8,9,10
76,0.061,0.155,0.271,0.368,0.424,0.467,0.483,0.485,0.499,0.489
77,0.057,0.163,0.295,0.344,0.383,0.455,0.476,0.491,0.48,0.466
78,0.061,0.184,0.277,0.368,0.426,0.431,0.44,0.472,0.482,0.467
79,0.068,0.184,0.268,0.336,0.411,0.45,0.469,0.481,0.485,0.495
80,0.067,0.173,0.29,0.383,0.398,0.443,0.463,0.468,0.484,0.493
81,0.058,0.154,0.312,0.362,0.404,0.459,0.477,0.478,0.485,0.498
82,0.06,0.177,0.265,0.342,0.416,0.439,0.48,0.491,0.467,0.496
83,0.056,0.202,0.304,0.331,0.429,0.453,0.485,0.482,0.47,0.482
84,0.061,0.19,0.278,0.381,0.391,0.461,0.498,0.476,0.498,0.484
85,0.061,0.173,0.286,0.378,0.394,0.489,0.472,0.513,0.491,0.495
86,0.07,0.184,0.293,0.373,0.411,0.458,0.479,0.515,0.468,0.488
87,0.058,0.187,0.297,0.357,0.441,0.481,0.464,0.485,0.486,0.507
88,0.068,0.177,0.284,0.363,0.435,0.435,0.469,0.481,0.472,0.485
89,0.074,0.167,0.258,0.355,0.432,0.427,0.474,0.472,0.482,0.475
90,0.09,0.175,0.262,0.358,0.404,0.449,0.47,0.49,0.475,0.49
91,0.066,0.195,0.296,0.389,0.446,0.437,0.476,0.46,0.486,0.479
92,0.059,0.178,0.272,0.351,0.39,0.417,0.48,0.472,0.472,0.525
93,0.066,0.148,0.309,0.347,0.417,0.453,0.488,0.492,0.483,0.505
94,0.053,0.174,0.271,0.376,0.388,0.424,0.472,0.496,0.469,0.521
95,0.051,0.157,0.292,0.377,0.41,0.414,0.482,0.485,0.483,0.489
96,0.062,0.19,0.29,0.364,0.397,0.474,0.47,0.474,0.481,0.484
97,0.061,0.186,0.275,0.362,0.399,0.434,0.476,0.481,0.499,0.499
98,0.065,0.163,0.309,0.382,0.429,0.446,0.472,0.494,0.476,0.494
99,0.063,0.173,0.294,0.365,0.415,0.453,0.466,0.489,0.46,0.5
100,0.091,0.179,0.269,0.349,0.411,0.457,0.482,0.486,0.475,0.525
